,№,published,price,price_by_meter,area,living_area,kitchen_area,rooms,level,max_levels,build_year,enterances,remoute_from_center,areaRating,type,rubbish_chute,build_walls,build_overlap,heating,gas,build_oldest
0,1,2021-01-02,36200000.0,218599.0,165.6,69.0,36.0,3,8,58,2015,1,9.661126147095842,3.9260902,Многоквартирный дом,Нет,Монолит,Железобетонные,Центральное,Нет,new
1,2,2021-01-02,16000000.0,176211.0,90.8,48.2,15.5,2,22,23,2007,8,17.226491499192733,3.9152746,Многоквартирный дом,Есть,Панель,Железобетонные,Центральное,Нет,middle
2,3,2021-01-02,35700000.0,446250.0,80.0,50.0,9.0,3,8,8,1957,7,6.411226685872325,3.5739026,Многоквартирный дом,Есть,Кирпич,Железобетонные,Центральное,Да,old
3,4,2021-01-02,30850000.0,283028.0,109.0,47.0,15.0,3,28,58,2014,1,9.53772400259264,3.9260902,Многоквартирный дом,Нет,Монолит,Железобетонные,Центральное,Нет,new
4,5,2021-01-02,31800000.0,291743.0,109.0,58.0,18.0,3,44,58,2015,1,9.66083008034976,3.9260902,Многоквартирный дом,Нет,Монолит,Железобетонные,Центральное,Нет,new
5,6,2021-01-03,9900000.0,314286.0,31.5,18.5,5.2,2,1,5,1964,5,11.32179379760534,3.9503021,Многоквартирный дом,Нет,Панель,Железобетонные,Центральное,Да,old
6,7,2021-01-03,150000000.0,802139.0,187.0,125.0,20.0,3,7,13,2011,5,9.206160867166352,4.0804205,Многоквартирный дом,Есть,Монолит,Железобетонные,Центральное,Нет,new
7,8,2021-01-03,13500000.0,210280.0,64.2,40.0,8.0,2,2,5,1957,3,11.914177379523904,3.4953578000000003,Многоквартирный дом,Нет,Кирпич,Железобетонные,Центральное,Да,old
8,9,2021-01-03,16000000.0,286738.0,55.8,37.6,6.0,3,4,5,1960,4,8.571718482549695,3.8665447,Многоквартирный дом,Есть,Блоки,Железобетонные,Центральное,Да,old
9,10,2021-01-03,16350000.0,223973.0,73.0,44.0,10.0,3,2,16,1979,3,15.793684209413613,4.05725,Многоквартирный дом,Есть,Панель,Железобетонные,Центральное,Нет,old
10,11,2021-01-03,11500000.0,269953.0,42.6,30.0,6.0,2,5,5,1962,4,7.776232277546591,3.4154193,Многоквартирный дом,Нет,Кирпич,Железобетонные,Центральное,Да,old
11,12,2021-01-04,61999999.0,442857.0,140.0,72.6,12.0,4,10,16,2006,5,7.263621380737851,4.127402,Многоквартирный дом,Есть,Монолит,Железобетонные,Центральное,Нет,middle
12,13,2021-01-04,62500000.0,372024.0,168.0,122.0,10.0,3,22,27,2007,3,9.198470132562097,3.8734415,Многоквартирный дом,Есть,Монолит,Железобетонные,Центральное,Нет,middle
13,14,2021-01-04,13000000.0,285714.0,45.5,31.0,7.0,2,3,5,1964,8,10.97426405393396,3.9503021,Многоквартирный дом,Нет,Панель,Железобетонные,Центральное,Да,old
14,15,2021-01-04,27000000.0,343511.0,78.6,41.1,13.5,2,12,33,2007,4,12.758204527816908,4.2075477,Многоквартирный дом,Есть,Монолит,Железобетонные,Центральное,Нет,middle
15,16,2021-01-04,28500000.0,287879.0,99.0,63.0,10.0,4,7,22,1987,4,14.65316209006279,4.028662000000001,Многоквартирный дом,Есть,Панель,Железобетонные,Центральное,Нет,old
16,17,2021-01-04,23200000.0,322222.0,72.0,35.4,10.0,2,1,7,1952,3,8.835649020649242,3.9369915,Многоквартирный дом,Есть,Кирпич,Железобетонные,Центральное,Да,old
17,18,2021-01-04,14500000.0,194631.0,74.5,45.0,19.5,3,1,14,1992,5,38.89997628069776,3.838890600000001,Многоквартирный дом,Есть,Панель,Железобетонные,Центральное,Нет,old
18,19,2021-01-05,20000000.0,327869.0,61.0,30.0,14.0,2,5,12,1966,1,6.33338446315745,3.838052,Многоквартирный дом,Есть,Монолит,Железобетонные,Центральное,Да,old
19,20,2021-01-05,49990000.0,315394.0,158.5,97.3,12.0,5,8,30,2003,4,9.412314454863283,3.9369915,Многоквартирный дом,Есть,Кирпич,Железобетонные,Центральное,Нет,middle
20,21,2021-01-06,25500000.0,231818.0,110.0,70.0,10.0,3,25,29,2010,3,8.341657659418507,3.7972434,Многоквартирный дом,Есть,Монолит,Железобетонные,Центральное,Нет,new
21,22,2021-01-06,21900000.0,456250.0,48.0,26.0,8.9,2,1,4,1910,2,1.643623548219195,3.7627811,Многоквартирный дом,Нет,Кирпич,Железобетонные,Центральное,Нет,old
22,23,2021-01-06,18500000.0,398707.0,46.4,30.1,7.1,2,4,8,1960,3,4.684064357364683,3.560566000000001,Многоквартирный дом,Есть,Кирпич,Железобетонные,Центральное,Да,old
23,24,2021-01-06,10999000.0,215245.0,51.1,33.7,6.2,3,1,9,1969,6,15.110738289980548,3.655109,Многоквартирный дом,Есть,Панель,Железобетонные,Центральное,Да,old
24,25,2021-01-06,20448400.0,234500.0,87.2,52.9,13.7,3,2,16,1985,1,18.381629797849325,3.9152746,Многоквартирный дом,Есть,Монолит,Железобетонные,Центральное,Нет,old
